country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-15,7,6,4,13,6,-1
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-16,-4,-2,-14,6,-1,1
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-17,4,7,-13,13,20,-2
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-18,1,0,-4,12,15,-2
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-19,3,6,-6,12,14,-2
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-20,3,10,11,13,15,-3
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-21,5,14,5,8,2,1
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-22,-8,7,11,9,-10,1
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-23,8,11,53,23,-2,1
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-24,-18,-5,96,-27,-56,9
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-25,-29,-38,112,-33,-66,10
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-26,-26,-13,7,-32,-46,7
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-27,-18,-5,-27,-12,-7,5
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-28,-6,3,-26,-5,-3,5
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-02-29,-8,3,-29,-4,-1,4
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-03-01,-31,-16,-65,-22,-12,8
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-03-02,-14,0,-46,-3,13,3
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-03-03,-7,1,-29,5,13,1
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-03-04,-3,7,-27,6,14,0
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-03-05,0,7,-11,9,18,-1
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-03-06,14,13,-7,17,21,-2
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-03-07,10,12,-11,11,7,0
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-03-08,6,7,-10,6,2,1
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-03-09,5,9,-12,14,22,-2
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-03-10,1,3,-7,12,16,-1
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-03-11,1,5,-12,10,15,-1
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-03-12,-3,4,-4,9,17,-1
BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020-03-13,7,13,-5,13,19,-1
