,Centro_Communal,Oriente,system:time_start
76,-0.4452296819787986,-0.29542645241038323,2020-06-15 20:00:00
77,0.030035335689045935,-0.2639060568603214,2020-06-22 20:00:00
78,,,2020-06-29 20:00:00
79,-0.0715547703180212,-0.022867737948084124,2020-07-06 20:00:00
80,-0.0706713780918728,-0.27317676143386904,2020-07-13 20:00:00
81,0.6360424028268551,0.01606922126081575,2020-07-20 20:00:00
82,-0.1012956419316843,-0.40049443757725595,2020-07-27 20:00:00
83,-0.2862190812720848,-0.6124845488257108,2020-08-03 20:00:00
84,-0.15547703180212014,-0.3288009888751546,2020-08-10 20:00:00
85,-0.24028268551236748,-0.44004944375772564,2020-08-17 20:00:00
86,,,2020-08-24 20:00:00
87,0.054770318021201414,-0.10074165636588386,2020-08-31 20:00:00
88,,,2020-09-07 20:00:00
89,0.3345111896348646,-0.22558714462299137,2020-09-14 20:00:00
90,0.9929328621908127,-0.029820766378244816,2020-09-21 20:00:00
91,,,2020-09-28 20:00:00
92,-0.3833922261484099,-0.4344870210135971,2020-10-05 20:00:00
93,0.6466431095406361,-0.42150803461063047,2020-10-12 20:00:00
94,0.09540636042402827,-0.24721878862793578,2020-10-19 20:00:00
95,,,2020-10-26 20:00:00
96,-0.08833922261484099,-0.6440049443757726,2020-11-02 19:00:00
97,0.127208480565371,-0.23275648949320152,2020-11-09 19:00:00
98,-0.7773851590106007,-0.4252163164400495,2020-11-16 19:00:00
99,-0.2508833922261484,-0.07911001236093947,2020-11-23 19:00:00
100,0.1501766784452297,-0.24119283065512984,2020-11-30 19:00:00
101,-0.2570671378091873,-0.2131025957972807,2020-12-07 19:00:00
102,0.4607773851590105,-0.045117428924598336,2020-12-14 19:00:00
103,0.17196702002355718,-0.28152039555006186,2020-12-21 19:00:00
104,0.24734982332155478,-0.2583436341161929,2020-12-28 19:00:00
